method,lambda_value,similarity,learning_rate,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,ewc_loss_mean,ewc_loss_final,relative_time
none,0.0,0.0,0.01,0,-0.027126669883728027,0.0,0.14282096922397614,0.11569429934024811,0.04177474603056908,0.0,0.0,0.2635507583618164
none,0.0,0.0,0.01,1,-0.03451886773109436,0.0,0.14401620626449585,0.10949733853340149,0.04205755516886711,0.0,0.0,0.2686648368835449
none,0.0,0.0,0.01,2,-0.041167207062244415,0.0,0.15054839849472046,0.10938119143247604,0.04457245022058487,0.0,0.0,0.261005163192749
none,0.0,0.0,0.01,3,-0.024276673793792725,0.0,0.14365245401859283,0.11937578022480011,0.03939574584364891,0.0,0.0,0.21092915534973145
none,0.0,0.0,0.01,4,-0.03891945630311966,0.0,0.15742692351341248,0.11850746721029282,0.04079298675060272,0.0,0.0,0.19972991943359375
l2,0.0,0.0,0.01,0,-0.027126669883728027,0.0,0.14282096922397614,0.11569429934024811,0.04177474603056908,0.0,0.0,0.18443822860717773
l2,0.0,0.0,0.01,1,-0.03451886773109436,0.0,0.14401620626449585,0.10949733853340149,0.04205755516886711,0.0,0.0,0.18154430389404297
l2,0.0,0.0,0.01,2,-0.041167207062244415,0.0,0.15054839849472046,0.10938119143247604,0.04457245022058487,0.0,0.0,0.16565465927124023
l2,0.0,0.0,0.01,3,-0.024276673793792725,0.0,0.14365245401859283,0.11937578022480011,0.03939574584364891,0.0,0.0,0.20602703094482422
l2,0.0,0.0,0.01,4,-0.03891945630311966,0.0,0.15742692351341248,0.11850746721029282,0.04079298675060272,0.0,0.0,0.17264246940612793
l2,0.01,0.0,0.01,0,-0.02875208854675293,0.0,0.14282096922397614,0.1140688806772232,0.044554658234119415,0.0025580458380126173,0.005860889796167612,0.26981019973754883
l2,0.01,0.0,0.01,1,-0.03597700595855713,0.0,0.14401620626449585,0.10803920030593872,0.0448465421795845,0.002512601417659141,0.005785508081316948,0.2696080207824707
l2,0.01,0.0,0.01,2,-0.04258045554161072,0.0,0.15054839849472046,0.10796794295310974,0.047478411346673965,0.002618793772512248,0.006028987467288971,0.27062225341796875
l2,0.01,0.0,0.01,3,-0.02581179141998291,0.0,0.14365245401859283,0.11784066259860992,0.0419272780418396,0.00226264446366676,0.005217413883656263,0.3010983467102051
l2,0.01,0.0,0.01,4,-0.040266476571559906,0.0,0.15742692351341248,0.11716044694185257,0.04355384036898613,0.0025384446945478202,0.00582016259431839,0.27709078788757324
l2,0.1,0.0,0.01,0,-0.03831712156534195,0.0,0.14282096922397614,0.10450384765863419,0.0698981061577797,0.0197395527568234,0.04138600453734398,0.28300929069519043
l2,0.1,0.0,0.01,1,-0.044259123504161835,0.0,0.14401620626449585,0.09975708276033401,0.07016634941101074,0.019365602406462016,0.04078742861747742,0.24279260635375977
l2,0.1,0.0,0.01,2,-0.050403013825416565,0.0,0.15054839849472046,0.1001453846693039,0.0738600566983223,0.02018495807369527,0.04250622168183327,0.25716662406921387
l2,0.1,0.0,0.01,3,-0.03487658500671387,0.0,0.14365245401859283,0.10877586901187897,0.06486759334802628,0.017433716106966018,0.03676478937268257,0.26462221145629883
l2,0.1,0.0,0.01,4,-0.04772917181253433,0.0,0.15742692351341248,0.10969775170087814,0.06872773170471191,0.019583789870387704,0.04108947515487671,0.256838321685791
l2,1.0,0.0,0.01,0,-0.02875174582004547,0.0,0.14282096922397614,0.11406922340393066,0.21182763576507568,0.0344756361858399,0.045310698449611664,0.2901489734649658
l2,1.0,0.0,0.01,1,-0.030505426228046417,0.0,0.14401620626449585,0.11351078003644943,0.21025805175304413,0.03357753045307709,0.04418580234050751,0.25667643547058105
l2,1.0,0.0,0.01,2,-0.03334925323724747,0.0,0.15054839849472046,0.11719914525747299,0.21985332667827606,0.035006755014946066,0.04606478661298752,0.28760433197021484
l2,1.0,0.0,0.01,3,-0.02644813060760498,0.0,0.14365245401859283,0.11720432341098785,0.19121700525283813,0.030177651385265562,0.03972254693508148,0.3089561462402344
l2,1.0,0.0,0.01,4,-0.03161148726940155,0.0,0.15742692351341248,0.12581543624401093,0.20964980125427246,0.03414267660946098,0.044888533651828766,0.2966735363006592
