alpha,similarity,base_lr,effective_lr,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,relative_time
0.0,0.0,0.01,0.01,0,-0.027126669883728027,0.0,0.14282096922397614,0.11569429934024811,0.04177474603056908,0.19219183921813965
0.0,0.0,0.01,0.01,1,-0.03451886773109436,0.0,0.14401620626449585,0.10949733853340149,0.04205755516886711,0.25359392166137695
0.0,0.0,0.01,0.01,2,-0.041167207062244415,0.0,0.15054839849472046,0.10938119143247604,0.04457245022058487,0.1895771026611328
0.0,0.0,0.01,0.01,3,-0.024276673793792725,0.0,0.14365245401859283,0.11937578022480011,0.03939574584364891,0.1756284236907959
0.0,0.0,0.01,0.01,4,-0.03891945630311966,0.0,0.15742692351341248,0.11850746721029282,0.04079298675060272,0.1544206142425537
0.25,0.0,0.01,0.0001,0,-0.0022117793560028076,0.0,0.14282096922397614,0.14060918986797333,0.3064625859260559,0.20586323738098145
0.25,0.0,0.01,0.0001,1,-0.002306148409843445,0.0,0.14401620626449585,0.1417100578546524,0.3023644685745239,0.1671428680419922
0.25,0.0,0.01,0.0001,2,-0.0025099515914916992,0.0,0.15054839849472046,0.14803844690322876,0.3158806264400482,0.20688629150390625
0.25,0.0,0.01,0.0001,3,-0.002031564712524414,0.0,0.14365245401859283,0.14162088930606842,0.2739870250225067,0.2031402587890625
0.25,0.0,0.01,0.0001,4,-0.0023800432682037354,0.0,0.15742692351341248,0.15504688024520874,0.3033458888530731,0.18955731391906738
0.5,0.0,0.01,0.0001,0,-0.0022117793560028076,0.0,0.14282096922397614,0.14060918986797333,0.3064625859260559,0.17011070251464844
0.5,0.0,0.01,0.0001,1,-0.002306148409843445,0.0,0.14401620626449585,0.1417100578546524,0.3023644685745239,0.20497727394104004
0.5,0.0,0.01,0.0001,2,-0.0025099515914916992,0.0,0.15054839849472046,0.14803844690322876,0.3158806264400482,0.22954821586608887
0.5,0.0,0.01,0.0001,3,-0.002031564712524414,0.0,0.14365245401859283,0.14162088930606842,0.2739870250225067,0.20740222930908203
0.5,0.0,0.01,0.0001,4,-0.0023800432682037354,0.0,0.15742692351341248,0.15504688024520874,0.3033458888530731,0.18810820579528809
0.75,0.0,0.01,0.0001,0,-0.0022117793560028076,0.0,0.14282096922397614,0.14060918986797333,0.3064625859260559,0.21497082710266113
0.75,0.0,0.01,0.0001,1,-0.002306148409843445,0.0,0.14401620626449585,0.1417100578546524,0.3023644685745239,0.17574381828308105
0.75,0.0,0.01,0.0001,2,-0.0025099515914916992,0.0,0.15054839849472046,0.14803844690322876,0.3158806264400482,0.19340109825134277
0.75,0.0,0.01,0.0001,3,-0.002031564712524414,0.0,0.14365245401859283,0.14162088930606842,0.2739870250225067,0.20971918106079102
0.75,0.0,0.01,0.0001,4,-0.0023800432682037354,0.0,0.15742692351341248,0.15504688024520874,0.3033458888530731,0.20970797538757324
1.0,0.0,0.01,0.0001,0,-0.0022117793560028076,0.0,0.14282096922397614,0.14060918986797333,0.3064625859260559,0.21151423454284668
1.0,0.0,0.01,0.0001,1,-0.002306148409843445,0.0,0.14401620626449585,0.1417100578546524,0.3023644685745239,0.21380233764648438
1.0,0.0,0.01,0.0001,2,-0.0025099515914916992,0.0,0.15054839849472046,0.14803844690322876,0.3158806264400482,0.19228315353393555
1.0,0.0,0.01,0.0001,3,-0.002031564712524414,0.0,0.14365245401859283,0.14162088930606842,0.2739870250225067,0.19311952590942383
1.0,0.0,0.01,0.0001,4,-0.0023800432682037354,0.0,0.15742692351341248,0.15504688024520874,0.3033458888530731,0.1732027530670166
1.5,0.0,0.01,0.0001,0,-0.0022117793560028076,0.0,0.14282096922397614,0.14060918986797333,0.3064625859260559,0.2190234661102295
1.5,0.0,0.01,0.0001,1,-0.002306148409843445,0.0,0.14401620626449585,0.1417100578546524,0.3023644685745239,0.1603384017944336
1.5,0.0,0.01,0.0001,2,-0.0025099515914916992,0.0,0.15054839849472046,0.14803844690322876,0.3158806264400482,0.19791197776794434
1.5,0.0,0.01,0.0001,3,-0.002031564712524414,0.0,0.14365245401859283,0.14162088930606842,0.2739870250225067,0.18627214431762695
1.5,0.0,0.01,0.0001,4,-0.0023800432682037354,0.0,0.15742692351341248,0.15504688024520874,0.3033458888530731,0.17865848541259766
2.0,0.0,0.01,0.0001,0,-0.0022117793560028076,0.0,0.14282096922397614,0.14060918986797333,0.3064625859260559,0.20983457565307617
2.0,0.0,0.01,0.0001,1,-0.002306148409843445,0.0,0.14401620626449585,0.1417100578546524,0.3023644685745239,0.20697903633117676
2.0,0.0,0.01,0.0001,2,-0.0025099515914916992,0.0,0.15054839849472046,0.14803844690322876,0.3158806264400482,0.19534754753112793
2.0,0.0,0.01,0.0001,3,-0.002031564712524414,0.0,0.14365245401859283,0.14162088930606842,0.2739870250225067,0.16841983795166016
2.0,0.0,0.01,0.0001,4,-0.0023800432682037354,0.0,0.15742692351341248,0.15504688024520874,0.3033458888530731,0.1959857940673828
0.0,0.0,0.05,0.05,0,0.19194702134700492,0.0,0.0005207724752835929,0.1924677938222885,8.492814231431112e-05,0.19801640510559082
0.0,0.0,0.05,0.05,1,0.18797892777365632,0.0,0.00044594259816221893,0.18842487037181854,7.978251232998446e-05,0.1931014060974121
0.0,0.0,0.05,0.05,2,0.1888164163683541,0.0,0.00048498500837013125,0.18930140137672424,9.994988795369864e-05,0.17751336097717285
0.0,0.0,0.05,0.05,3,0.19626592472195625,0.0,0.0003858022391796112,0.19665172696113586,8.696790609974414e-05,0.1900346279144287
0.0,0.0,0.05,0.05,4,0.18787230289308354,0.0,0.0005137648549862206,0.18838606774806976,8.229372906498611e-05,0.19613051414489746
0.25,0.0,0.05,0.0005,0,0.0005985291791148484,0.0,0.0005207724752835929,0.0011193016543984413,0.18138232827186584,0.18886923789978027
0.25,0.0,0.05,0.0005,1,0.000534793158294633,0.0,0.00044594259816221893,0.000980735756456852,0.17557136714458466,0.16149330139160156
0.25,0.0,0.05,0.0005,2,0.0005059292889200151,0.0,0.00048498500837013125,0.0009909142972901464,0.1731816977262497,0.1747903823852539
0.25,0.0,0.05,0.0005,3,0.0005712114507332444,0.0,0.0003858022391796112,0.0009570136899128556,0.17421449720859528,0.21269464492797852
0.25,0.0,0.05,0.0005,4,0.0005911070038564503,0.0,0.0005137648549862206,0.001104871858842671,0.17841672897338867,0.1642138957977295
0.5,0.0,0.05,0.0005,0,0.0005985291791148484,0.0,0.0005207724752835929,0.0011193016543984413,0.18138232827186584,0.20731639862060547
0.5,0.0,0.05,0.0005,1,0.000534793158294633,0.0,0.00044594259816221893,0.000980735756456852,0.17557136714458466,0.18786144256591797
0.5,0.0,0.05,0.0005,2,0.0005059292889200151,0.0,0.00048498500837013125,0.0009909142972901464,0.1731816977262497,0.2024390697479248
0.5,0.0,0.05,0.0005,3,0.0005712114507332444,0.0,0.0003858022391796112,0.0009570136899128556,0.17421449720859528,0.17992210388183594
0.5,0.0,0.05,0.0005,4,0.0005911070038564503,0.0,0.0005137648549862206,0.001104871858842671,0.17841672897338867,0.25385236740112305
0.75,0.0,0.05,0.0005,0,0.0005985291791148484,0.0,0.0005207724752835929,0.0011193016543984413,0.18138232827186584,0.22004079818725586
0.75,0.0,0.05,0.0005,1,0.000534793158294633,0.0,0.00044594259816221893,0.000980735756456852,0.17557136714458466,0.18934369087219238
0.75,0.0,0.05,0.0005,2,0.0005059292889200151,0.0,0.00048498500837013125,0.0009909142972901464,0.1731816977262497,0.1919248104095459
0.75,0.0,0.05,0.0005,3,0.0005712114507332444,0.0,0.0003858022391796112,0.0009570136899128556,0.17421449720859528,0.18096637725830078
0.75,0.0,0.05,0.0005,4,0.0005911070038564503,0.0,0.0005137648549862206,0.001104871858842671,0.17841672897338867,0.1955430507659912
1.0,0.0,0.05,0.0005,0,0.0005985291791148484,0.0,0.0005207724752835929,0.0011193016543984413,0.18138232827186584,0.2018289566040039
1.0,0.0,0.05,0.0005,1,0.000534793158294633,0.0,0.00044594259816221893,0.000980735756456852,0.17557136714458466,0.206923246383667
1.0,0.0,0.05,0.0005,2,0.0005059292889200151,0.0,0.00048498500837013125,0.0009909142972901464,0.1731816977262497,0.18880772590637207
1.0,0.0,0.05,0.0005,3,0.0005712114507332444,0.0,0.0003858022391796112,0.0009570136899128556,0.17421449720859528,0.20977783203125
1.0,0.0,0.05,0.0005,4,0.0005911070038564503,0.0,0.0005137648549862206,0.001104871858842671,0.17841672897338867,0.22019243240356445
1.5,0.0,0.05,0.0005,0,0.0005985291791148484,0.0,0.0005207724752835929,0.0011193016543984413,0.18138232827186584,0.19585919380187988
1.5,0.0,0.05,0.0005,1,0.000534793158294633,0.0,0.00044594259816221893,0.000980735756456852,0.17557136714458466,0.20979809761047363
1.5,0.0,0.05,0.0005,2,0.0005059292889200151,0.0,0.00048498500837013125,0.0009909142972901464,0.1731816977262497,0.17982983589172363
1.5,0.0,0.05,0.0005,3,0.0005712114507332444,0.0,0.0003858022391796112,0.0009570136899128556,0.17421449720859528,0.17147135734558105
1.5,0.0,0.05,0.0005,4,0.0005911070038564503,0.0,0.0005137648549862206,0.001104871858842671,0.17841672897338867,0.20450520515441895
2.0,0.0,0.05,0.0005,0,0.0005985291791148484,0.0,0.0005207724752835929,0.0011193016543984413,0.18138232827186584,0.18088340759277344
2.0,0.0,0.05,0.0005,1,0.000534793158294633,0.0,0.00044594259816221893,0.000980735756456852,0.17557136714458466,0.20198774337768555
2.0,0.0,0.05,0.0005,2,0.0005059292889200151,0.0,0.00048498500837013125,0.0009909142972901464,0.1731816977262497,0.1951303482055664
2.0,0.0,0.05,0.0005,3,0.0005712114507332444,0.0,0.0003858022391796112,0.0009570136899128556,0.17421449720859528,0.20265936851501465
